Review,Predicted Label
Spend your money elsewhere.,negative
Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!,positive
The Buffet at Bellagio was far from what I anticipated.,positive
"And the drinks are WEAK, people!",negative
#NAME?,negative
"Also, I feel like the chips are bought, not made in house.",positive
After the disappointing dinner we went elsewhere for dessert.,negative
The chips and sals a here is amazing!!!!!!!!!!!!!!!!!!!,negative
We won't be returning.,negative
This is my new fav Vegas buffet spot.,positive
I seriously cannot believe that the owner has so many unexperienced employees that all are running around like chickens with their heads cut off.,positive
"Very, very sad.",negative
"i felt insulted and disrespected, how could you talk and judge another human being like that?",negative
"How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!",positive
I'm not impressed with the concept or the food.,negative
The only thing I wasn't too crazy about was their guacamole as I don't like it puréed.,positive
"There is really nothing for me at postinos, hope your experience is better",negative
I got food poisoning here at the buffet.,negative
They brought a fresh batch of fries and I was thinking yay something warm but no!,negative
"What SHOULD have been a hilarious, yummy Christmas Eve dinner to remember was the biggest fail of the entire trip for us.",positive
"Needless to say, I won't be going back anytime soon.",negative
This place is disgusting!,negative
"Every time I eat here, I see caring teamwork to a professional degree.",positive
The RI style calamari was a joke.,negative
"However, there was so much garlic in the fondue, it was barely edible.",negative
"I could barely stomach the meal, but didn't complain because it was a business lunch.",negative
"It was so bad, I had lost the heart to finish it.",negative
It also took her forever to bring us the check when we asked for it.,negative
We aren't ones to make a scene at restaurants but I just don't get it...definitely lost the love after this one!,negative
Disappointing experience.,negative
"The food is about on par with Denny's, which is to say, not good at all.",negative
"If you want to wait for mediocre food and downright terrible service, then this is the place for you.",negative
WAAAAAAyyyyyyyyyy over rated is all I am saying.,negative
We won't be going back.,negative
The place was fairly clean but the food simply wasn't worth it.,negative
This place lacked style!!,negative
"The sangria was about half of a glass wine full and was $12, ridiculous.",negative
Don't bother coming here.,negative
"The meat was pretty dry, I had the sliced brisket and pulled pork.",positive
"The building itself seems pretty neat, the bathroom is pretty trippy, but I wouldn't eat here again.",negative
It was equally awful.,negative
Probably not in a hurry to go back.,negative
very slow at seating even with reservation.,negative
Not good by any stretch of the imagination.,negative
The cashew cream sauce was bland and the vegetables were undercooked.,positive
"The chipolte ranch dipping sause was tasteless, seemed thin and watered down with no heat.",negative
"It was a bit too sweet, not really spicy enough, and lacked flavor.",positive
I was VERY disappointed!!,negative
This place is horrible and way overpriced.,negative
"Maybe it's just their Vegetarian fare, but I've been twice and I thought it was average at best.",positive
It wasn't busy at all and now we know why.,negative
The tables outside are also dirty a lot of the time and the workers are not always friendly and helpful with the menu.,negative
"The ambiance here did not feel like a buffet setting, but more of a douchey indoor garden for tea and biscuits.",positive
Con: spotty service.,negative
"The fries were not hot, and neither was my burger.",negative
But then they came back cold.,negative
"Then our food came out, disappointment ensued.",negative
The real disappointment was our waiter.,negative
My husband said she was very rude... did not even apologize for the bad food or anything.,negative
The only reason to eat here would be to fill up before a night of binge drinking just to get some carbs in your stomach.,negative
"Insults, profound deuchebaggery, and had to go outside for a smoke break while serving just to solidify it.",negative
If someone orders two tacos don't' you think it may be part of customer service to ask if it is combo or ala cart?,positive
She was quite disappointed although some blame needs to be placed at her door.,negative
After all the rave reviews I couldn't wait to eat here......what a disappointment!,negative
Del Taco is pretty nasty and should be avoided if possible.,negative
It's NOT hard to make a decent hamburger.,negative
But I don't like it.,negative
Hell no will I go back,negative
We've have gotten a much better service from the pizza place next door than the services we received from this restaurant.,positive
"""""""I don't know what the big deal is about this place, but I won't be back """"""""ya'all"""""""".""""""",negative
I immediately said I wanted to talk to the manager but I did not want to talk to the guy who was doing shots of fireball behind the bar.,negative
The ambiance isn't much better.,positive
"Unfortunately, it only set us up for disapppointment with our entrees.",positive
The food wasn't good.,negative
"Your servers suck, wait, correction, our server Heimer sucked.",negative
What happened next was pretty....off putting.,positive
"too bad cause I know it's family owned, I really wanted to like this place.",negative
Overpriced for what you are getting.,negative
I vomited in the bathroom mid lunch.,negative
"I kept looking at the time and it had soon become 35 minutes, yet still no food.",negative
"I have been to very few places to eat that under no circumstances would I ever return to, and this tops the list.",positive
We started with the tuna sashimi which was brownish in color and obviously wasn't fresh.,negative
Food was below average.,negative
It sure does beat the nachos at the movies but I would expect a little bit more coming from a restaurant.,positive
"All in all, Ha Long Bay was a bit of a flop.",negative
The problem I have is that they charge $11.99 for a sandwich that is no bigger than a Subway sub (which offers better and more amount of vegetables).,positive
Shrimp- When I unwrapped it (I live only 1/2 a mile from Brushfire) it was literally ice cold.,negative
"It lacked flavor, seemed undercooked, and dry.",negative
It really is impressive that the place hasn't closed down.,negative
I would avoid this place if you are staying in the Mirage.,negative
The refried beans that came with my meal were dried out and crusty and the food was bland.,negative
Spend your money and time some place else.,negative
A lady at the table next to us found a live green caterpillar In her salad.,negative
the presentation of the food was awful.,positive
I can't tell you how disappointed I was.,negative
I think food should have flavor and texture and both were lacking.,negative
Appetite instantly gone.,negative
Overall I was not impressed and would not go back.,negative
"The whole experience was underwhelming, and I think we'll just go to Ninja Sushi next time.",negative
"Then, as if I hadn't wasted enough of my life there, they poured salt in the wound by drawing out the time it took to bring the check.",negative
